registro_sistema,titulo,sub_titulo,assunto,autor,tipo_material,quantidade,ano,edicao,editora,isbn,issn,id_exemplar,codigo_barras,colecao,biblioteca,status_material,localizacao,texto_busca
98042,Banco de dados :,guia de fontes científicas da UFRN /,Universidade Federal do Rio Grande do Norte -#$&Pesquisa#$&Pesquisa científica -#$&Rio Grande do Norte#$&Pesquisadores -#$&Rio Grande do Norte,Universidade Federal do Rio Grande do Norte.,Livro,33,2007.,,"EDUFRN,",9788572733694,,1085822,2013095434,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.6 U58b,banco de dados : guia de fontes científicas da ufrn / universidade federal do rio grande do norte -#$&pesquisa#$&pesquisa científica -#$&rio grande do norte#$&pesquisadores -#$&rio grande do norte
99470,"Náufragos, traficantes e degredados :",as primeiras expedições ao Brasil 1500-1531/,Brasil -#$&História -#$&Periodo 1501-1532.,"Bueno, Eduardo,",Livro,6,c1998.,,"Objetiva,",8573022167 (broch.),,1124341,2014031930,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,94(81) B928n v.2,"náufragos, traficantes e degredados : as primeiras expedições ao brasil 1500-1531/ brasil -#$&história -#$&periodo 1501-1532."
101153,Informática na educação :,representações sociais do cotidiano /,Educação.#$&Informática.,"Carneiro, Raquel Gianolla Miranda.",Livro,11,2006.,3. ed. -,"Cortez,",8524908726 (broch.),,1349828,2021000452,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,370:004 C289i 3.ed.,informática na educação : representações sociais do cotidiano / educação.#$&informática.
101660,"Marketing para engenharia, arquitetura e agronomia /",,Marketing.#$&Marketing de serviços (Arquitetura)#$&Marketing de serviços (Engenharia)#$&Marketing de serviços.#$&Agronomia.#$&Sistemas de informação gerencial.,"Padilha, Ênio.",Livro,5,2000.,2. ed. -,"CONFEA,",,,1114477,2014021844,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,658.8 P123m 2.ed.,"marketing para engenharia, arquitetura e agronomia / nan marketing.#$&marketing de serviços (arquitetura)#$&marketing de serviços (engenharia)#$&marketing de serviços.#$&agronomia.#$&sistemas de informação gerencial."
103676,Turing e o computador em 90 minutos /,,"Turing, Alan Mathison,#$&Computadores -#$&História.#$&Computação.#$&Máquina de Turing.","Strathern, Paul,",Livro,3,2000.,,"Jorge Zahar,",9788571105669,,247031,2008029978,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,ESPECIAL,004 S899t,"turing e o computador em 90 minutos / nan turing, alan mathison,#$&computadores -#$&história.#$&computação.#$&máquina de turing."
104215,Leishmaniose visceral grave :,normas e condutas. /,Leishmaniose visceral.#$&Leishmaniose visceral -#$&Tratamento.#$&Leishmaniose visceral -#$&Administração dos cuidados ao paciente.,Brasil.,Livro,22,2006.,1. ed. -,"Ministério da Saúde,",8533409966 (broch.),,964241,2012005209,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,616.993.161 B823l 1.ed.,leishmaniose visceral grave : normas e condutas. / leishmaniose visceral.#$&leishmaniose visceral -#$&tratamento.#$&leishmaniose visceral -#$&administração dos cuidados ao paciente.
104398,Avaliação técnica de sistemas de tratamento de esgotos /,,Tratamento de esgotos.#$&Saneamento.,"Santos, André Bezerra dos.",Livro,5,2007.,,"Banco do Nordeste do Brasil,",9788587062833 (broch.),,896321,2010090476,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,ESPECIAL,628 S237a,avaliação técnica de sistemas de tratamento de esgotos / nan tratamento de esgotos.#$&saneamento.
105729,Lógica de programação :,a construção de algoritmos e estruturas de dados /,Programação (Computadores).#$&Algoritmos.#$&Estruturas de dados (Computação),"Forbellone, Andre Luiz Villar.",Livro,4,c2000.,2. ed. -,"Makron Books,",8534611246,,1379195,2023003737,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 F692l 2.ed.,lógica de programação : a construção de algoritmos e estruturas de dados / programação (computadores).#$&algoritmos.#$&estruturas de dados (computação)
110796,Águas doces no Brasil :,"capital ecológico, uso e conservação /",Hidrologia.#$&Brasil.#$&Recursos hídricos -#$&Desenvolvimento.#$&Água doce.#$&Água -#$&Aspectos ambientais.#$&Água -#$&Uso#$&Água -#$&Conservação.#$&Desenvolvimento sustentável.#$&Ecossistemas.#$&Estudos ambientais,,Livro,13,2006.,3. ed. rev. ampl. -,"Escrituras,",8586303410,,923084,2011012132,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,ESPECIAL,556.1 A282 3.ed.,"águas doces no brasil : capital ecológico, uso e conservação / hidrologia.#$&brasil.#$&recursos hídricos -#$&desenvolvimento.#$&água doce.#$&água -#$&aspectos ambientais.#$&água -#$&uso#$&água -#$&conservação.#$&desenvolvimento sustentável.#$&ecossistemas.#$&estudos ambientais"
111985,Pascal estruturado /,,PASCAL (Linguagem de programação de computador).#$&Informática.,,Livro,5,c1999.,3. ed. -,"LTC,",9788521611745 (broch.).,,258990,2008049418,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,ESPECIAL,004.43 P278 3.ed.,pascal estruturado / nan pascal (linguagem de programação de computador).#$&informática.
